Date,Open
8/24/2018 16:00:00,61.03
8/31/2018 16:00:00,62.21
9/7/2018 16:00:00,61.13
9/14/2018 16:00:00,59.21
9/21/2018 16:00:00,58.89
9/28/2018 16:00:00,57.97
10/5/2018 16:00:00,60.65
10/12/2018 16:00:00,58
10/19/2018 16:00:00,55.9
10/26/2018 16:00:00,55.63
11/2/2018 16:00:00,54.83
11/9/2018 16:00:00,53.63
11/16/2018 16:00:00,53.66
11/23/2018 13:00:00,53.17
11/30/2018 16:00:00,52.2
12/7/2018 16:00:00,56.61
12/14/2018 16:00:00,52.15
12/21/2018 16:00:00,52.35
12/28/2018 16:00:00,49.22
1/4/2019 16:00:00,52.89
1/11/2019 16:00:00,54.05
1/18/2019 16:00:00,52.67
1/25/2019 16:00:00,54.8
2/1/2019 16:00:00,54.5
2/8/2019 16:00:00,55.95
2/15/2019 16:00:00,55.19
2/22/2019 16:00:00,55.83
3/1/2019 16:00:00,56.1
3/8/2019 16:00:00,57.73
3/15/2019 16:00:00,57.6
3/22/2019 16:00:00,59.48
3/29/2019 16:00:00,59.98
4/5/2019 16:00:00,59.38
4/12/2019 16:00:00,60.56
4/18/2019 16:00:00,61.2
4/26/2019 16:00:00,61.83
5/3/2019 16:00:00,64.03
5/10/2019 16:00:00,58.6
5/17/2019 16:00:00,57.26
5/24/2019 16:00:00,57.65
5/31/2019 16:00:00,57.07
6/7/2019 16:00:00,53.35
6/14/2019 16:00:00,53.85
6/21/2019 16:00:00,54.46
6/28/2019 16:00:00,56
7/5/2019 16:00:00,55.05
7/12/2019 16:00:00,56.29
7/19/2019 16:00:00,57.27
7/26/2019 16:00:00,56.77
8/2/2019 16:00:00,62.13
8/9/2019 16:00:00,58.65
8/16/2019 16:00:00,59
8/23/2019 16:00:00,59.59
8/30/2019 16:00:00,57.97
9/6/2019 16:00:00,59.09
9/13/2019 16:00:00,60.35
9/20/2019 16:00:00,61.52
9/27/2019 16:00:00,61.33
10/4/2019 16:00:00,61.03
10/11/2019 16:00:00,60.35
10/18/2019 16:00:00,60.69
10/25/2019 16:00:00,62.44
